 Day ,Meal,,NON-VEG,COMPULSORY ITEMS
 Monday ,BREAKFAST,Poha and Jalebi,Boiled egg (2),"Toasted white/whole wheat bread, Butter, Jam, Sugar, Cornflakes-Oats (student can take only one),  Sprouts-boiled chana, Milk(Non-Toned), Tea, Coffee, Bournvita/Horlicks                                                                                        "
,LUNCH,"Moong Dal, Malai Kofta, Bhendi Peanut Fry, Seasonal Fruits (2 types)",—,"Atta/Multigrain Roti, Curd, Salad(Beetroot+tomato+onion+carrot+lemon+chilli), Pickle, Lizzat Papad,Ghee"
,SNACKS,"Veg Cutlet, Ketchup",—," Milk(Non-Toned), Tea, Coffee "
,DINNER,"Mix Dal, Mutter Masala, Boondi",Egg Butter Masala,"Atta/Multigrain Roti, Salad(Beetroot+tomato+onion+carrot+lemon+chilli), Pickle, Fryums,Ghee"
 Tuesday ,BREAKFAST,Luchi (Poori) and Ghugni,Banana(2),"Toasted white/whole wheat bread, Butter, Jam, Sugar, Cornflakes-Oats (student can take only one),  Sprouts-boiled chana, Milk(Non-Toned), Tea, Coffee, Bournvita/Horlicks                                                                                        "
,LUNCH,"Rajma Dal, Dum Aloo Banarasi, Mix Veg Dry",—,"Atta/Multigrain Roti, Curd , Salad(Beetroot+tomato+onion+carrot+lemon+chilli), Pickle, Lizzat Papad,Ghee"
,SNACKS,"Bread Pakora, Ketchup",—," Milk(Non-Toned), Tea, Coffee "
,DINNER,"Khichdi, Aloo Gobi, Veg Chatpata",—,"Atta/Multigrain Roti, Salad(Beetroot+tomato+onion+carrot+lemon+chilli), Pickle, Fryums,Ghee"
 Wednesday ,BREAKFAST,"Idli/ Fried Idli, Sambhar, Coconut Chutney, Tomato Chutney",Boiled egg (2),"Toasted white/whole wheat bread, Butter, Jam, Sugar, Cornflakes-Oats (student can take only one),  Sprouts-boiled chana, Milk(Non-Toned), Tea, Coffee, Bournvita/Horlicks                                                                                        "
,LUNCH,"Masoor Dal, Kadhi pakoda, Dry Aloo Masala",—,"Atta/Multigrain Roti, Lassi, Salad(Beetroot+tomato+onion+carrot+lemon+chilli), Pickle, Lizzat Papad,Ghee"
,SNACKS,"Pyaz Kachori, Chutney",—," Milk(Non-Toned), Tea, Coffee "
,DINNER,"Lasooni Dal Tadka, Veg Korma, Carrot Halwa",Chicken Butter Masala,"Atta/Multigrain Roti, Salad(Beetroot+tomato+onion+carrot+lemon+chilli), Pickle,Fryums,Ghee"
 Thursday ,BREAKFAST,"Mix veg paratha, Chutney,Curd",Banana(2),"Toasted white/whole wheat bread, Butter, Jam, Sugar, Cornflakes-Oats (student can take only one),  Sprouts-boiled chana, Milk(Non-Toned), Tea, Coffee, Bournvita/Horlicks                                                                                        "
,LUNCH,"Channa Dal Fry, Dahi Baingan, Chilly Potato, Seasonal Fruits (2 types)",—,"Atta/Multigrain Roti, Curd, Salad(Beetroot+tomato+onion+carrot+lemon+chilli), Pickle, Lizzat Papad,Ghee"
,SNACKS,"Dhokla, Chutney / Sweet Corn",—," Milk(Non-Toned), Tea, Coffee "
,DINNER,"Veg Fried Rice, Pindi Chole, Capsicum Masala, Dosa",—,"Atta/Multigrain Roti, Salad(Beetroot+tomato+onion+carrot+lemon+chilli), Pickle, Fryums,Ghee"
 Friday ,BREAKFAST,"Uttapam, Sambhar, Coconut Chutney",Boiled egg (2),"Toasted white/whole wheat bread, Butter, Jam, Sugar, Cornflakes-Oats (student can take only one),  Sprouts-boiled chana, Milk(Non-Toned), Tea, Coffee, Bournvita/Horlicks                                                                                        "
,LUNCH,"Dal Panchmahal, Cauliflower Fry, Hariyali Kofta",—,"Atta/Multigrain Roti, Lassi , Salad(Beetroot+tomato+onion+carrot+lemon+chilli), Pickle, Lizzat Papad,Ghee"
,SNACKS,"Samosa, Chutney",—," Milk(Non-Toned), Tea, Coffee "
,DINNER,"Moong Dal,Veg Biriyani, Alu Soyabin Dry,  Milk Barfi/Coconut Barfi",Egg curry,"Atta/Multigrain Roti, Salad(Beetroot+tomato+onion+carrot+lemon+chilli), Pickle,Fryums,Ghee"
 Saturday ,BREAKFAST,"Aloo Pyaz Paratha, Curd, Mint Chutney, Pickle",Boiled egg (2),"Toasted white/whole wheat bread, Butter, Jam, Sugar, Cornflakes-Oats (student can take only one),  Sprouts-boiled chana, Milk(Non-Toned), Tea, Coffee, Bournvita/Horlicks                                                                                        "
,LUNCH," Dal Tadka, Cabbage Pakoda, Mix Vegetables in Hot Garlic Sauce",—,"Atta/Multigrain Roti, Curd, Salad(Beetroot+tomato+onion+carrot+lemon+chilli), Pickle, Lizzat Papad,Ghee"
,SNACKS,Pav Bhaji,—," Milk(Non-Toned), Tea, Coffee "
,DINNER,"Plain rice, Urad Dal, Chole Bhature, Aloo Palak",,"Atta/Multigrain Roti, Salad(Beetroot+tomato+onion+carrot+lemon+chilli), Pickle,Fryums, Ghee"
 Sunday ,BREAKFAST,"Masala Dosa, Sambhar, Coconut Chutney",Boiled egg (2),"Toasted white/whole wheat bread, Butter, Jam, Sugar, Cornflakes-Oats (student can take only one),  Sprouts-boiled chana, Milk(Non-Toned), Tea, Coffee, Bournvita/Horlicks                                                                                        "
